Jenis,Nama tag,Tipe,Alamat,Keterangan
Input,Pump_AutoMode,Bool,%I0.0,1=AUTO; 0=MANUAL
Input,Pump_StartButton,Bool,%I0.1,Tombol START; tepi naik
Input,Pump_StopOK,Bool,%I0.2,Rangkaian STOP sehat; 1=OK
Input,Pump_SafetyOK,Bool,%I0.3,Izin keselamatan; 1=OK
Input,Pump_OverloadOK,Bool,%I0.4,Kontak overload; 1=OK
Input,Pump_SourceWaterOK,Bool,%I0.5,Sumber air tersedia; 1=OK
Input,Pump_LowWet,Bool,%I0.6,Sensor level rendah terendam
Input,Pump_HighWet,Bool,%I0.7,Sensor level tinggi terendam
Input,Pump_ResetButton,Bool,%I1.0,Reset alarm; tepi naik
Input,Pump_MotorFeedback,Bool,%I1.1,Feedback kontaktor/motor
Output,Pump_PumpCmd,Bool,%Q0.0,Perintah kontaktor pompa
Output,Pump_Alarm,Bool,%Q0.1,Alarm umum
Output,Pump_Enabled,Bool,%Q0.2,Kontrol siap/diizinkan
